Arrays' count,Comp,Comp,Comp,Comp,Comp,Comp
,Number,Number,Number,Number,Number,Number
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,316,768,9900,5349,900
200,732,1828,39800,20699,1800
300,1180,3112,89700,46049,2700
400,1664,4248,159600,81399,3600
500,2216,5616,249500,126749,4500
600,2660,7112,359400,182099,5400
700,3172,8539,489300,247449,6300
800,3728,9688,639200,322799,7200
900,4304,11393,809100,408149,8100
