Arrays' count,Time,Time,Time,Time,Time,Time
,ms,ms,ms,ms,ms,ms
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,0.9999275207519531,2.000093460083008,23.001432418823242,5.000114440917969,3.0002593994140625
200,4.000425338745117,3.999948501586914,92.00549125671387,21.001100540161133,4.000186920166016
300,5.000591278076172,7.000207901000977,211.0121250152588,48.00295829772949,5.000114440917969
400,7.00068473815918,9.000301361083984,371.0212707519531,85.00480651855469,7.000446319580078
500,9.000301361083984,12.000799179077148,585.033655166626,132.00736045837402,8.000373840332031
600,11.000633239746094,16.000986099243164,843.0483341217041,189.0108585357666,10.00070571899414
700,13.000726699829102,19.001007080078125,1149.0657329559326,258.0146789550781,11.000871658325195
800,15.00082015991211,21.001338958740234,1508.0862045288086,336.01927757263184,13.000726699829102
900,17.000913619995117,25.00152587890625,1907.1087837219238,428.0245304107666,15.00082015991211
