Arrays' count,Perm,Perm,Perm,Perm,Perm,Perm
,Number,Number,Number,Number,Number,Number
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,336,260,4950,50,0
200,772,620,19900,100,0
300,1244,1000,44850,150,0
400,1744,1440,79800,200,0
500,2244,2100,124750,250,0
600,2788,2300,179700,300,0
700,3338,2920,244650,350,0
800,3888,3280,319600,400,0
900,4438,4180,404550,450,0
