Arrays' count,Perm,Perm,Perm,Perm,Perm,Perm
,Number,Number,Number,Number,Number,Number
,merge_sort,shell_sort,bubble_sort,hoare_sort,radix_sort
100,336,413,2301,165,0
200,772,1097,9309,377,0
300,1244,1742,22454,602,0
400,1744,2782,37088,868,0
500,2244,3289,59483,1131,0
1000,4988,7684,245274,2588,0
1500,7976,13019,558427,4087,0
2000,10976,20561,999931,5761,0
3000,17452,29378,2261954,8948,0
5000,30904,60357,6171269,16175,0
